Restaurant_Name,id,quote,value_rating,rating,date,review,count,things,Noofcontribution,Noofusefulvotes
Favela Tour,rn488154732,Highly recommended,NA,5,NA,"I was initially wary about signing up for this tour, as I didn't want it to be voyeuristic but our guide explained it was set up by residents of Rochina to show how they live and a different side to Rio, and that some of...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,103,51
Favela Tour,rn476404546,Not for the faint of heart,NA,2,NA,This is a bit of a dangerous tour. A bus takes you to the top of the favela and then you walk to the bottom over the next couple of hours. The guide was very strict in saying that you have to keep your cameras...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,52,4
Favela Tour,rn474955418,Jeep tour and walking through one of the better slums in Rio,NA,4,NA,Very interesting to SEE how 20percent of the rio population lives. You are driven in an open keep to the top of the slum and then walk through the narrow passage ways.,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,13,8
Favela Tour,rn474534471,"Most interested, Contact with the locals.",NA,5,NA,"Took a half day tour to Rocinha Favela + Rain forest tour. The tour last 4.5 to 5 hours depends on traffic. Maximum 9 people in a tour, as you are travelling in an open Jeep. The tour take you into the hart of the...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,81,20
Favela Tour,rn473044768,Interesting,NA,3,NA,This tour was an eye opener. Life would have been very tough when these favelas had no law and order.,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,168,35
Favela Tour,rn472942218,Best tour in Rio,NA,5,NA,We took the tour in January with Thiago. It was the best tour we did in Rio. Thiago is a great guide and made the tour extremely interesting. It was very eye opening visiting the favelas and interesting to learn about the differences in how...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,9,5
Favela Tour,rn472728086,"Ciago, our guide, is the best!",NA,5,NA,"My wife and I took this tour and absolutely loved it. Our guide, Ciago, was informative, articulate and passionate. Be sure to ask for him.",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,10,2
Favela Tour,rn471511912,"Good guide, limited insights",NA,4,NA,The tour was very well organized and the tour guide spoke good english. He had a big knowledge of Brazilian History and about live in the favels. The Favelas offer a great view and are really interesting to take a look at. For me the...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,40,7
Favela Tour,rn471098330,The most interesting tour we had in town!!,NA,5,NA,"We had a great tour of the Favela thanks to our great guide Junior. He gave honest answers to all of our challenging questions. Real local patriot of the Favela. thanks to him, we know now much better than we knew before the tour. THANK...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,7,2
Favela Tour,rn470190033, A reality of Rio! Mind opener!,NA,5,NA,"Favelas must be seen to fully know Rio in all its aspects. It is not just the beaches of Copacabana and Ipanema, but the life of numerous disadvantaged people living the best way they can in poorer communities!
Tourists, Do not be intimidated by the...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,29,10
Favela Tour,rn460892423,Fascinating and insightful tour with excellent guide,NA,5,NA,"Just come back from a really fascinating and insightful half day tour around two favelas. The guide - Barbara - was really knowledgeable and provided interesting insight into
the communities. She provided lots of interesting anecdotes as well as the social, political and economic context...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,16,6
Favela Tour,rn459013849,Favela Tour with a local person,NA,5,NA,"I went to Rio de Janeiro in March 2016 and booked a Favela tour that was excellent. A small bus picked me up near the hotel in the early afternoon. We were 9 people in total and Alberto, our tour guide was excellent. He not...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,7,4
Favela Tour,rn453201835,A Different Lifestyle,NA,3,NA,I believe it's important for people to see and feel how others live around our world. It may give us a greater appreciation for what we have and/or it may lead to an appreciation of how others manage their lives with much less than we...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,81,34
Favela Tour,rn451265017,Do your 'Favela Tour' research,NA,3,NA,Our tour was a bit slow and boring and when I compared tours that my friends did their seemed like a lot more fun including bike rides. We hardly went 200 metres into the Favela's so didn't get to see as much as we'd like...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,50,9
Favela Tour,rn449678472,Favela tour and much more,NA,5,NA,"We had a great Three hours with an excelent guide: Cicago witout the c = Ciago
Not only he gave us all interesting background on favelas he also gave us a good and entertaing insight of Rio, Brasil and South of America. The tour was...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,4,1
Favela Tour,rn447097266,FAVELA TOUR,NA,5,NA,"Hi, I personally made the FAVELA TOUR that seemed the best reputed one, so I choosed the one offered by Marcelo Armstrong. I think this was the best choice ever. I had himself as guide it it was fabulous, Marcelo speaks excellent English as well...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,2,2
Favela Tour,rn446700467,Insightful and informative,NA,5,NA,Excellently organised tour. Marcelo was quick to reply to emails and helpful. Our tour guide was excellent. I chose this tour as I enjoyed seeing the contrast between the two different favelas that we visited. Tour guide had excellent English and gave a realistic insight...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,39,28
Favela Tour,rn445490842,Marcelo is superb,NA,5,NA,"Heard about this tour and company through Rio websites and some printed guides. It was a very useful and enlightening tour, it helped give a more balanced account of the perception of favelas both in the papers and portrayed on film. Marcelo was a knowledgeable,...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,43,27
Favela Tour,rn443554887,Surprising,NA,4,NA,"I felt this was a not to be missed tour, as the favelas are so much a part of Rio de Janeiro.Although perhaps regarded as slums our guide told us that the favelas are where the working people of Rio live - taxi drivers, waiters,...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,106,59
Favela Tour,rn436454458,A must. ,NA,5,NA,"I know doing a favela tour seems like a risky thing to be doing, but it is a must. Seeing the real Rio is really eye opening. It was amazing to see the way the people lived and also seeing how amazingly happy they all...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,19,10
Favela Tour,rn430174676,Had a tourist be the translator?!?,NA,2,NA,"I have to say, the tour guide was super friendly and this was a great tour HOWEVER, the tour guide spoke only spanish/ portugese and no English or any other language.
We don't pay money to have other tourists translate what the tour guide is...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,92,72
Favela Tour,rn428234592,Tour of Rocinha favela,NA,5,NA,"I saw a favela from a window of my hotel room in Copacabana and decided to take a tour. We went to the favela Rocinha. I was told that there is a kind of law: not to create troubles inside the favela, so the tourist...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,289,216
Favela Tour,rn427091812,An experience that might surprise you,NA,5,NA,"We went in a Favela tour in Rocinha, the largest of the favelas, booked through our hotel. The groups usually are in 10-15 people, and a guide who has lived/lives in the favela. This tour will give you a whole new look into the life...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,8,13
Favela Tour,rn424642053,Amazing eye opening trip,NA,5,NA,This is a must if you have time during your stay in Rio. Book directly with Michelo Armstrong. Trips are in small groups and you get taken to two favelas. The first is small where you can mooch the back streets. The second is a...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,142,59
Favela Tour,rn424160715,Good experience ,NA,4,NA,My husband and I did an organised Favela tour. The tour was incredibly eye opening to us both with the conditions that the locals have to live in. We were however surprised to see that they had set up their own wifi connection and many...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,77,42
Favela Tour,rn424056721,Very Surprised,NA,5,NA,"We found this tour in a hotel brochure. Although a little hesitant, we decided to go for it. It was very enlightening. Was very surprised to see that you could find anything in this favela. Pharmacies, dentists and even vetenarians. Really worth the experience. Our...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,81,53
Favela Tour,rn423342164,Connecting with the mountain side of Rio,NA,5,NA,An opportunity to visit and walk among the people of the favelas. It's both informative and inspirational. The people have characteristics that you'll quickly admire and marvel at their history and day to day lives. You haven't visited Rio until you include this experience in...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,13,9
Favela Tour,rn422248162,Amazing tour of Rocinha favela with Annabelle,NA,5,NA,"Annabelle has lived in Rocinha and knows it well...including lots of the residents some of whom we talked to. Life in the favela is more complex than we read about with small businesses, trash pickups, schools and medical clinics.
We were driven up on motor...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,1,1
Favela Tour,rn421357444,Favela tour with Amendoim is mind-blowing,NA,5,NA,"This guy is the real deal. He's a former resident and seems to know everyone. He'll show you the real slum, not just the PC parts.
His personality and the interactions with the residents were half the fun, honestly. We followed this guy for 4h...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,1,1
Favela Tour,rn419202904,Best way to see real Rio,NA,5,NA,"This morning we embarked on a favela tour!!! It was amazing. Easy to book, good pick up location and very safe. It was extremely interesting and the guide - Paulo was amazing. I would highly recommend.",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,15,3
Favela Tour,rn409784210,Great insight into this side of Rio - a must do!,NA,5,NA,"Went on Favella tour - arranged just a couple of days in advance. Guide Elia spoke very good english and vwry knowledgeable. You could see well respected by the communities being visited.
tour takes you to two contrasting favellas - one large and one with...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,46,23
Favela Tour,rn408931548,Rocinha Living,NA,5,NA,A big thanks to Freddie our tour guide and Zezinho (tour organizer) to this amazing experience. We saw first hand how the people of the Rocinha favela live. Freddie spoke English very well and answered all our questions. Like most visitors to the favela it...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,6,6
Favela Tour,rn408329809,The other side of Rio,NA,5,NA,The trip to the favelas was something I really wanted to do when I came to Rio and I wasn't disappointed. It was a very humbling experience. Our guide was a wealth of knowledge and gave us a lot of interesting information about the history...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,40,16
Favela Tour,rn408266991,"A very very slow and ""American"" tour",NA,2,NA,It was a very slow (too slow) walk which ended even half an hour shorter. At the end we had to visit the house of the manager of the tours to do the payment. It felt a bit strange. The purpose of the tour was...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,3,1
Favela Tour,rn407708063,Now for the rest of the story.....,NA,5,NA,"We had an absolutely fantastic tour today of two Rio favelas--Rochina & Villa Canoas. I had sourced & became aware of Favela Tour from the Frommers Rio travel book as part of our Olympic experience. Our Favela Tour guide Luciola, spoke perfect English & had...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,12,12
Favela Tour,rn406805778,Good tour. Well organised. ,NA,4,NA,You can't leave Rio without seeing amazing Rocinho Favela - this tour gives profits to a school ( which we visited). It's a wonderful entrepreneurial place and it was all safe and easy.,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,40,11
Favela Tour,rn404724699,Educational and important to do,NA,5,NA,"We are an English family of four with 2 boys aged 9 & 10. We weren't sure what to expect on this tour but felt it was important to show our children how different areas in Brazil live.
The tour was amazing. Luciole (sp?) our...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,2,3
Favela Tour,rn404446383,Amazing insightful tour to see the other side of Rio,NA,5,NA,"Our guide Thiago was extremely knowledgeable about the favelas and life in Rio. He gave us an incredible insight into how the favelas developed, the problems and the situation now. This tour really should be a must for anyone visiting Rio.",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,82,31
Favela Tour,rn395972543,Great tour and a fantastic guide,NA,5,NA,"This was a fantastic opportunity to meet real Brazilian people and I found it a really interesting experience as the people were so friendly and welcoming. Our guide, Edson was superb and we all felt at ease walking round an area of Rio that you...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,10,12
Favela Tour,rn395595788,AMAZING!!! ,NA,5,NA,"Thank you so much for booking us in last minute and picking us up from our hotel. Our guide was amazing, patient and extremely knowledgable. The trip allowed us to visit a school in the favela, meet the children and speak to the teacher. We...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,62,47
Favela Tour,rn394870383,The other side of Rio,NA,5,NA,"Although I was not entirely convinced of doing this kind of tour, now I'm very glad I took it. First of all, our guide Luciola was very informative and told us so many interesting details and facts on the favelas. We visited two different favelas,...More",All photos (391) ,#91 of 545 Tours in Rio de Janeiro,221,84
Favela Tour,rn394113029,Enjoyed this very much,NA,5,NA,My tour was absolutely awesome. I did the jeep tour. I guess we were lucky we had a great guide. Hopped on a jeep then walked thru the favela.... Lot's of other jeep tours are not so great so proceed with caution. My other jeep...More,All photos (391) ,#91 of 545 Tours in Rio de Janeiro,256,34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,4.371428571,,,,,,
