"","Restaurant_Name","id","quote","value_rating","rating","date","review","count","things","Noofcontribution","Noofusefulvotes"
"11","Favela Tour","rn542191469","Eye opener",NA,5,NA,"Through urban adventures,arranged the tour. Met by an incredible guide Jesse,full of knowledge and enthusiasm. My wife and I spent over 4 Hours on the trip. Met a few residents who were welcoming and answered questions. If you want a guide for any tour in...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","14","6"
"12","Favela Tour","rn535975837","Great Tour ",NA,5,NA,"I really recommend this visite to see and most of all to understand this other aspect from Rio. You learn a lot about the social and economic problems which leads to the growing of favelas. It was really interesting to see how a community can...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","12"
"13","Favela Tour","rn532790260","The different side of Rio",NA,4,NA,"We needed to fill in half a day before flying home on the same afternoon.
We went by jeep from our hotel on Copacabana beach.
The guide is extremely well known and takes you to the very different , buzzing Favela in Rocinha. We ended...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","76","26"
"14","Favela Tour","rn532464328","Favela",NA,5,NA,"Really nice to see the both sides of Rio.
Was something to see and never forget.
If you want to see the poor side and compare with the Rich side, do the tour.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","10","7"
"15","Favela Tour","rn528238926","Must do",NA,4,NA,"Just like christ the redeemer I think if you go to rio you have to go to favela just to see how the locals live. It's just like any place with alot of people working everyday. Yes it is dangerous but I'd you're with a...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","167","50"
"16","Favela Tour","rn520438322","Another perspective of Rio de Janeiro ",NA,5,NA,"If you like to a true experience of the people living a less privileged live go to a Favela. I'd like to recommend a tour (you can also find bar, guesthouse and other experiences, but be careful) like with our guide Marina. Favela people are...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","13","3"
"17","Favela Tour","rn518490479","Interesting Tour - Worth Booking",NA,4,NA,"This tour offers something different and we are glad we saw this side of Rio. It was nice to see that the Guide and Driver are welcomed by the locals. While it felt a little forced to tour the school, it is admirable that the...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","20","14"
"18","Favela Tour","rn515318948","Informative- a grounding experience",NA,5,NA,"This trip was such great value approx £30 - we toured two favelas and there was plenty of time to ask questions from the guide who was incredibly knowledgable- there are opportunities to contribute to the economy through purchasing souvenirs or beverages. I felt very...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","56","46"
"19","Favela Tour","rn512553459","not to miss!",NA,5,NA,"- take the tour run by the locals of the rocinha favela
- definitely a worthwhile experience
- you may change your idea about favelas after this trip","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","40","11"
"20","Favela Tour","rn510909613","Interesting and worth doing",NA,5,NA,"We did the tour with ""Favela Tour"" started by Marcelo Armstrong in 1992. It was safe and the guide, Alberto, was nice and experienced. They support a school in Rocinha which is a good reason to do a tour with them. There was also another...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","82","49"
"21","Favela Tour","rn508808074","very interesting, changes your mind!",NA,5,NA,"I can highly recommend the Favels tour, I did mine with ExoticTours, which offer tours in different languages, everything with a local guide and transfer if necessary.
We started the tour by taking a local bus with our guide, which brought us to the top...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","1"
"22","Favela Tour","rn508243772","Interesting and safe tour - you learn a lot",NA,4,NA,"Pick up from hotel, and drop off there. 2 communities visited. A few stops on the way. Do it on a SUNDAY if you can: there is a nice food market in Rocinha.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","412","55"
"23","Favela Tour","rn508063060","An eye opener",NA,5,NA,"I initially had reservations about going on the roscina favela tour due to safety concerns. I'm so glad I visited. Our guide and driver took us to the top of the favela in a jeep. There were 5 of us in the group- different nationalities...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","40","13"
"24","Favela Tour","rn500339063","Great tour",NA,5,NA,"I took this tour with my boyfriend on June 15th and really enjoyed it. Our guide Alberto was great. I'll admit at the beginning of the tour, I was a little weary of what we had signed up for, but at the end it was...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","1"
"25","Favela Tour","rn494985447","A Must See Tour!",NA,4,NA,"I was initially not going to take this tour from hearing what others said about it being dangerous. A couple went and highly recommended us to go check it out. I am so glad we did! This was eye opening for us to really see...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","2","2"
"26","Favela Tour","rn492310266","My wife will give this a much better rating than I will",NA,3,NA,"I admit, I found this much better than I expected it would be. I was apprehensive, because I did not want to be the ""rich gringo"" ogling the ""poor Latino"". But the tour did a good job of not making us feel this way.
Antonio,...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","370","141"
"27","Favela Tour","rn488154732","Highly recommended",NA,5,NA,"I was initially wary about signing up for this tour, as I didn't want it to be voyeuristic but our guide explained it was set up by residents of Rochina to show how they live and a different side to Rio, and that some of...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","103","51"
"28","Favela Tour","rn476404546","Not for the faint of heart",NA,2,NA,"This is a bit of a dangerous tour. A bus takes you to the top of the favela and then you walk to the bottom over the next couple of hours. The guide was very strict in saying that you have to keep your cameras...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","52","4"
"29","Favela Tour","rn474955418","Jeep tour and walking through one of the better slums in Rio",NA,4,NA,"Very interesting to SEE how 20percent of the rio population lives. You are driven in an open keep to the top of the slum and then walk through the narrow passage ways.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","13","8"
"30","Favela Tour","rn474534471","Most interested, Contact with the locals.",NA,5,NA,"Took a half day tour to Rocinha Favela + Rain forest tour. The tour last 4.5 to 5 hours depends on traffic. Maximum 9 people in a tour, as you are travelling in an open Jeep. The tour take you into the hart of the...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","81","20"
"31","Favela Tour","rn473044768","Interesting",NA,3,NA,"This tour was an eye opener. Life would have been very tough when these favelas had no law and order.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","168","35"
"32","Favela Tour","rn472942218","Best tour in Rio",NA,5,NA,"We took the tour in January with Thiago. It was the best tour we did in Rio. Thiago is a great guide and made the tour extremely interesting. It was very eye opening visiting the favelas and interesting to learn about the differences in how...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","9","5"
"33","Favela Tour","rn472728086","Ciago, our guide, is the best!",NA,5,NA,"My wife and I took this tour and absolutely loved it. Our guide, Ciago, was informative, articulate and passionate. Be sure to ask for him.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","10","2"
"34","Favela Tour","rn471511912","Good guide, limited insights",NA,4,NA,"The tour was very well organized and the tour guide spoke good english. He had a big knowledge of Brazilian History and about live in the favels. The Favelas offer a great view and are really interesting to take a look at. For me the...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","40","7"
"35","Favela Tour","rn471098330","The most interesting tour we had in town!!",NA,5,NA,"We had a great tour of the Favela thanks to our great guide Junior. He gave honest answers to all of our challenging questions. Real local patriot of the Favela. thanks to him, we know now much better than we knew before the tour. THANK...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","7","2"
"36","Favela Tour","rn470190033"," A reality of Rio! Mind opener!",NA,5,NA,"Favelas must be seen to fully know Rio in all its aspects. It is not just the beaches of Copacabana and Ipanema, but the life of numerous disadvantaged people living the best way they can in poorer communities!
Tourists, Do not be intimidated by the...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","29","10"
"37","Favela Tour","rn460892423","Fascinating and insightful tour with excellent guide",NA,5,NA,"Just come back from a really fascinating and insightful half day tour around two favelas. The guide - Barbara - was really knowledgeable and provided interesting insight into
the communities. She provided lots of interesting anecdotes as well as the social, political and economic context...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","16","6"
"38","Favela Tour","rn459013849","Favela Tour with a local person",NA,5,NA,"I went to Rio de Janeiro in March 2016 and booked a Favela tour that was excellent. A small bus picked me up near the hotel in the early afternoon. We were 9 people in total and Alberto, our tour guide was excellent. He not...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","7","4"
"39","Favela Tour","rn453201835","A Different Lifestyle",NA,3,NA,"I believe it's important for people to see and feel how others live around our world. It may give us a greater appreciation for what we have and/or it may lead to an appreciation of how others manage their lives with much less than we...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","81","34"
"40","Favela Tour","rn451265017","Do your 'Favela Tour' research",NA,3,NA,"Our tour was a bit slow and boring and when I compared tours that my friends did their seemed like a lot more fun including bike rides. We hardly went 200 metres into the Favela's so didn't get to see as much as we'd like...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","50","9"
"41","Favela Tour","rn449678472","Favela tour and much more",NA,5,NA,"We had a great Three hours with an excelent guide: Cicago witout the c = Ciago
Not only he gave us all interesting background on favelas he also gave us a good and entertaing insight of Rio, Brasil and South of America. The tour was...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","4","1"
"42","Favela Tour","rn447097266","FAVELA TOUR",NA,5,NA,"Hi, I personally made the FAVELA TOUR that seemed the best reputed one, so I choosed the one offered by Marcelo Armstrong. I think this was the best choice ever. I had himself as guide it it was fabulous, Marcelo speaks excellent English as well...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","2","2"
"43","Favela Tour","rn446700467","Insightful and informative",NA,5,NA,"Excellently organised tour. Marcelo was quick to reply to emails and helpful. Our tour guide was excellent. I chose this tour as I enjoyed seeing the contrast between the two different favelas that we visited. Tour guide had excellent English and gave a realistic insight...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","39","27"
"44","Favela Tour","rn445490842","Marcelo is superb",NA,5,NA,"Heard about this tour and company through Rio websites and some printed guides. It was a very useful and enlightening tour, it helped give a more balanced account of the perception of favelas both in the papers and portrayed on film. Marcelo was a knowledgeable,...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","43","27"
"45","Favela Tour","rn443554887","Surprising",NA,4,NA,"I felt this was a not to be missed tour, as the favelas are so much a part of Rio de Janeiro.Although perhaps regarded as slums our guide told us that the favelas are where the working people of Rio live - taxi drivers, waiters,...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","106","59"
"46","Favela Tour","rn436454458","A must. ",NA,5,NA,"I know doing a favela tour seems like a risky thing to be doing, but it is a must. Seeing the real Rio is really eye opening. It was amazing to see the way the people lived and also seeing how amazingly happy they all...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","19","10"
"47","Favela Tour","rn430174676","Had a tourist be the translator?!?",NA,2,NA,"I have to say, the tour guide was super friendly and this was a great tour HOWEVER, the tour guide spoke only spanish/ portugese and no English or any other language.
We don't pay money to have other tourists translate what the tour guide is...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","92","71"
"48","Favela Tour","rn428234592","Tour of Rocinha favela",NA,5,NA,"I saw a favela from a window of my hotel room in Copacabana and decided to take a tour. We went to the favela Rocinha. I was told that there is a kind of law: not to create troubles inside the favela, so the tourist...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","289","210"
"49","Favela Tour","rn427091812","An experience that might surprise you",NA,5,NA,"We went in a Favela tour in Rocinha, the largest of the favelas, booked through our hotel. The groups usually are in 10-15 people, and a guide who has lived/lives in the favela. This tour will give you a whole new look into the life...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","8","13"
"50","Favela Tour","rn424642053","Amazing eye opening trip",NA,5,NA,"This is a must if you have time during your stay in Rio. Book directly with Michelo Armstrong. Trips are in small groups and you get taken to two favelas. The first is small where you can mooch the back streets. The second is a...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","142","57"
"51","Favela Tour","rn424160715","Good experience ",NA,4,NA,"My husband and I did an organised Favela tour. The tour was incredibly eye opening to us both with the conditions that the locals have to live in. We were however surprised to see that they had set up their own wifi connection and many...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","77","42"
"52","Favela Tour","rn424056721","Very Surprised",NA,5,NA,"We found this tour in a hotel brochure. Although a little hesitant, we decided to go for it. It was very enlightening. Was very surprised to see that you could find anything in this favela. Pharmacies, dentists and even vetenarians. Really worth the experience. Our...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","81","53"
"53","Favela Tour","rn423342164","Connecting with the mountain side of Rio",NA,5,NA,"An opportunity to visit and walk among the people of the favelas. It's both informative and inspirational. The people have characteristics that you'll quickly admire and marvel at their history and day to day lives. You haven't visited Rio until you include this experience in...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","13","9"
"54","Favela Tour","rn422248162","Amazing tour of Rocinha favela with Annabelle",NA,5,NA,"Annabelle has lived in Rocinha and knows it well...including lots of the residents some of whom we talked to. Life in the favela is more complex than we read about with small businesses, trash pickups, schools and medical clinics.
We were driven up on motor...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","1"
"55","Favela Tour","rn421357444","Favela tour with Amendoim is mind-blowing",NA,5,NA,"This guy is the real deal. He's a former resident and seems to know everyone. He'll show you the real slum, not just the PC parts.
His personality and the interactions with the residents were half the fun, honestly. We followed this guy for 4h...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","1"
"56","Favela Tour","rn419202904","Best way to see real Rio",NA,5,NA,"This morning we embarked on a favela tour!!! It was amazing. Easy to book, good pick up location and very safe. It was extremely interesting and the guide - Paulo was amazing. I would highly recommend.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","15","3"
"57","Favela Tour","rn409784210","Great insight into this side of Rio - a must do!",NA,5,NA,"Went on Favella tour - arranged just a couple of days in advance. Guide Elia spoke very good english and vwry knowledgeable. You could see well respected by the communities being visited.
tour takes you to two contrasting favellas - one large and one with...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","46","23"
"58","Favela Tour","rn408931548","Rocinha Living",NA,5,NA,"A big thanks to Freddie our tour guide and Zezinho (tour organizer) to this amazing experience. We saw first hand how the people of the Rocinha favela live. Freddie spoke English very well and answered all our questions. Like most visitors to the favela it...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","6","6"
"59","Favela Tour","rn408329809","The other side of Rio",NA,5,NA,"The trip to the favelas was something I really wanted to do when I came to Rio and I wasn't disappointed. It was a very humbling experience. Our guide was a wealth of knowledge and gave us a lot of interesting information about the history...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","40","16"
"60","Favela Tour","rn408266991","A very very slow and ""American"" tour",NA,2,NA,"It was a very slow (too slow) walk which ended even half an hour shorter. At the end we had to visit the house of the manager of the tours to do the payment. It felt a bit strange. The purpose of the tour was...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","1"
"61","Favela Tour","rn407708063","Now for the rest of the story.....",NA,5,NA,"We had an absolutely fantastic tour today of two Rio favelas--Rochina & Villa Canoas. I had sourced & became aware of Favela Tour from the Frommers Rio travel book as part of our Olympic experience. Our Favela Tour guide Luciola, spoke perfect English & had...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","7","7"
"62","Favela Tour","rn406805778","Good tour. Well organised. ",NA,4,NA,"You can't leave Rio without seeing amazing Rocinho Favela - this tour gives profits to a school ( which we visited). It's a wonderful entrepreneurial place and it was all safe and easy.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","40","11"
"63","Favela Tour","rn404724699","Educational and important to do",NA,5,NA,"We are an English family of four with 2 boys aged 9 & 10. We weren't sure what to expect on this tour but felt it was important to show our children how different areas in Brazil live.
The tour was amazing. Luciole (sp?) our...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","2","3"
"64","Favela Tour","rn404446383","Amazing insightful tour to see the other side of Rio",NA,5,NA,"Our guide Thiago was extremely knowledgeable about the favelas and life in Rio. He gave us an incredible insight into how the favelas developed, the problems and the situation now. This tour really should be a must for anyone visiting Rio.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","80","30"
"65","Favela Tour","rn395972543","Great tour and a fantastic guide",NA,5,NA,"This was a fantastic opportunity to meet real Brazilian people and I found it a really interesting experience as the people were so friendly and welcoming. Our guide, Edson was superb and we all felt at ease walking round an area of Rio that you...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","10","12"
"66","Favela Tour","rn395595788","AMAZING!!! ",NA,5,NA,"Thank you so much for booking us in last minute and picking us up from our hotel. Our guide was amazing, patient and extremely knowledgable. The trip allowed us to visit a school in the favela, meet the children and speak to the teacher. We...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","61","46"
"67","Favela Tour","rn394870383","The other side of Rio",NA,5,NA,"Although I was not entirely convinced of doing this kind of tour, now I'm very glad I took it. First of all, our guide Luciola was very informative and told us so many interesting details and facts on the favelas. We visited two different favelas,...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","221","83"
"68","Favela Tour","rn394113029","Enjoyed this very much",NA,5,NA,"My tour was absolutely awesome. I did the jeep tour. I guess we were lucky we had a great guide. Hopped on a jeep then walked thru the favela.... Lot's of other jeep tours are not so great so proceed with caution. My other jeep...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","254","34"
"69","Favela Tour","rn391902960","Thought provoking ",NA,4,NA,"Visually striking places with people living in difficult circumstances just going about their day. Felt safe throughout the 3 hour tour. Glad we went.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","61","47"
"70","Favela Tour","rn390893467","Very Interesting Look at the ""Other"" Rio",NA,5,NA,"A very interesting tour even if it was a sanitised version of a sanitised favella. The people seemed happy as they went about business.
Some of the things we learned:
Started around 1888 when slavery was abolished. Brazil was the last country to do this....More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","102","38"
"71","Favela Tour","rn390549954","Mixed feelings ",NA,5,NA,"It is a very unique trip. To see all the poverty but the same time place full of life, not sugar coated but just to the roots of what we all came from. I liked to observe my teenage daughter who has everything and confronted...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","128","32"
"72","Favela Tour","rn387556098","Fascinating tour visiting friendly locals",NA,5,NA,"Definitely recommend this for your visit to Rio for a change from the beach and shopping. I went on a tour led by Alfredo with about 10 other people. We visited two favelas, Rocinho and Vila Canoas. The first is large, looks like any normal...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","46","35"
"73","Favela Tour","rn382954484","Favela tour ",NA,5,NA,"Highlight of our time in Rio. Really interesting learning about the recent history and pacification of the favelas. I would recommend a non-Brazilian guide who is impartial on the matter of pacification, our English guide told us about the negative effects as well as positive...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","2","2"
"74","Favela Tour","rn380067876","Misleading tour",NA,2,NA,"The actual part of the tour in the favela was interesting. But this tour promised many things it did not deliver such as visiting a local school which has benefited from the income raised from these type of tours. Also on the website it said...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","3"
"75","Favela Tour","rn375497823","Extremely interesting tour",NA,4,NA,"Only do this with a reputable tour guide. We were given a really good insight into the living inside these areas. The people seemed really happy and the communities had everything there. Shops, markets & schools a thriving metropolis.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","37","19"
"76","Favela Tour","rn370267397","You have to do it!",NA,5,NA,"An must do when in Rio! You get a full picture of why the favelas exist and how important it has been for the people living there, it's not all about crime. BUT you must be prepared standing face to face with armed teenagers/kids, they...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","8","8"
"77","Favela Tour","rn368695187","Great tour!!!! ",NA,5,NA,"We came to rio really wanting to go up to see the favela, and we got in touch with Gareth who took us up there. It was amazing! Exceeded my expectations. Stopped somewhere to grab traditional Brazilian lunch as well on our way down which...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","3","1"
"78","Favela Tour","rn364648170","Tour Vidigal Favela with Isabell",NA,5,NA,"This experience stands out as the highlight of my trip! It was amazing to see and learn about the history of this incredible community and the struggles of the working class people that built it. It is by far the most colorful part of rio...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","1","1"
"79","Favela Tour","rn362343535","Excellent",NA,5,NA,"You must go with an organised tour guide from an agency that helps the people who live in the Fevela's.
It is very interesting To see And learn about The different communities in Rio And We will remember our Favela tour fondly.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","250","108"
"80","Favela Tour","rn361842759","An excellent visit to a favela with Anton from Indiana Tours",NA,5,NA,"We spent a morning doing a tour of the largest favela in Rio. I was colorfull and eventless. We understood a little better what brought families to the favela and what keeps them there. Anton had a lot of information to give and he did...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","297","94"
"81","Favela Tour","rn359376545","Everyone should do a favela tour.",NA,3,NA,"The guide was knowledgeable and passionate. We were picked up at our hotel promptly on time. However the air conditioning in the bus did not work on the way back, and instead of dropping us off at the hotel they dropped us off several blocks...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","39","19"
"82","Favela Tour","rn357910822","Favela tour, highlight of our trip to Rio",NA,5,NA,"We were only 4 days in Rio and wanted to see something else besides Christ the Redeemer (too many line ups and tourists to get up there!) and the beaches. Our guide Thiago (maybe misspelled) was really interesting and gave a lot of facts about...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","4","6"
"83","Favela Tour","rn355424507","Enjoyed it, but felt weird about the experience",NA,4,NA,"I'm glad I signed up to go on this tour and appreciated the experience, but it did feel strange to be on a guided tour of a favela where people live. The guide told us not to take pictures inside the homes of people as...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","218","120"
"84","Favela Tour","rn352504397","Too rainy, but for the favelas is worse than for the tourists",NA,5,NA,"We visited the favelas in a very very very rainy day. Our guide Louis has been really great in describing the history and the everyday life of favelas.","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","82","42"
"85","Favela Tour","rn352020890","Really bad guide",NA,2,NA,"Doing a ""favela tour"" is a difficult ethic choice. So when you decide to do it, you expect from the guide to be respectfull and competent.
The woman who did the visit was really bad, with disrespect for poor people (I think she don't even...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","4","6"
"86","Favela Tour","rn348987565","Was alright ",NA,3,NA,"Explanation were good and they bring you to some spots where you have a nice insight into the Favelas. However, I would like it more if the tour guide originally came from there. Moreover I did not like the anti American attitude of the guide....More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","83","23"
"87","Favela Tour","rn348232787","The other side o Rio",NA,5,NA,"Before you even go to Rio de Janeiro and do this tour everyone needs to watch the brazillian film ""City of God"" and think it can't get worst than that. After you see what happens in that film, you'll get a pretty good ideia of...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","60","34"
"88","Favela Tour","rn348128440","Must do",NA,4,NA,"When in Rio you must see the real people not just the tourist areas, their calm and polite nature will astound you. They live without luxuries and yet that is their lot, they seem proud of what they have. The walking tour takes you through...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","65","24"
"89","Favela Tour","rn343221018","CariocaFreeCulture walking tour of Rocinha",NA,5,NA,"Most of Rio's people live in favelas. If you see only the beaches and the tourist attractions you will not know the real Rio -- a WALKING tour of a favela is a ""must-do.""
CariocaFreeCulture is one of the groups that relies on long-term residents...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","19","6"
"90","Favela Tour","rn341213198","A great morning spent visiting two of Rio's Favela's",NA,5,NA,"The trip was great, we were collected from our hotel on time and visited two of the city's Favela's with plenty of time on each visit to take in the surroundings and ask any questions we had (not rushed at all). The trip was made...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","19","8"
"91","Favela Tour","rn340308300","In the clouds with Jungle Boy",NA,5,NA,"Today we took an inspiring, fascinating & active tour of one of the Coacabana/Ipanema favelas with Alberto from Jungle Boy. We loved it, learned lots & enjoyed our time with Alberto immensely. Thought provoking, a little scary & lots of fun!","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","16","5"
"92","Favela Tour","rn338777045","A must when in Rio",NA,4,NA,"The favelas are a huge part of Rio. The people in them have a tough life but a strong sense of community. Many of them work in the hotels amd hostels that most people staying in Rio use. The Favela tour allows a small insight...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","15","15"
"93","Favela Tour","rn338754248","Interesting tour of the ""other side of Rio""",NA,4,NA,"The favela tour is well worth-it. I felt a little weird going on this tour before it started, as I wasn't sure what to expect, and I don't think I would like it if a parade of tourists walked past my house either. It was...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","15","6"
"94","Favela Tour","rn338688709","it's safe to join the tour",NA,5,NA,"Almost every travel books warn you not to go to the favela in Rio but it's very safe to join the guided tour to the favela, where has an amazing view of Rio. The guide told us about the life and trend of the favela...More","All photos (391) ","#91 of 545 Tours in Rio de Janeiro","134","83"
