line,review
30,"Took a half day tour to Rocinha Favela + Rain forest tour. The tour last 4.5 to 5 hours depends on traffic. Maximum 9 people in a tour, as you are travelling in an open Jeep. The tour take you into the hart of the...More"
31,This tour was an eye opener. Life would have been very tough when these favelas had no law and order.
32,We took the tour in January with Thiago. It was the best tour we did in Rio. Thiago is a great guide and made the tour extremely interesting. It was very eye opening visiting the favelas and interesting to learn about the differences in how...More
33,"My wife and I took this tour and absolutely loved it. Our guide, Ciago, was informative, articulate and passionate. Be sure to ask for him."
34,The tour was very well organized and the tour guide spoke good english. He had a big knowledge of Brazilian History and about live in the favels. The Favelas offer a great view and are really interesting to take a look at. For me the...More
35,"We had a great tour of the Favela thanks to our great guide Junior. He gave honest answers to all of our challenging questions. Real local patriot of the Favela. thanks to him, we know now much better than we knew before the tour. THANK...More"
36,"Favelas must be seen to fully know Rio in all its aspects. It is not just the beaches of Copacabana and Ipanema, but the life of numerous disadvantaged people living the best way they can in poorer communities!
Tourists, Do not be intimidated by the...More"
37,"Just come back from a really fascinating and insightful half day tour around two favelas. The guide - Barbara - was really knowledgeable and provided interesting insight into
the communities. She provided lots of interesting anecdotes as well as the social, political and economic context...More"
38,"I went to Rio de Janeiro in March 2016 and booked a Favela tour that was excellent. A small bus picked me up near the hotel in the early afternoon. We were 9 people in total and Alberto, our tour guide was excellent. He not...More"
39,I believe it's important for people to see and feel how others live around our world. It may give us a greater appreciation for what we have and/or it may lead to an appreciation of how others manage their lives with much less than we...More
40,Our tour was a bit slow and boring and when I compared tours that my friends did their seemed like a lot more fun including bike rides. We hardly went 200 metres into the Favela's so didn't get to see as much as we'd like...More
41,"We had a great Three hours with an excelent guide: Cicago witout the c = Ciago
Not only he gave us all interesting background on favelas he also gave us a good and entertaing insight of Rio, Brasil and South of America. The tour was...More"
42,"Hi, I personally made the FAVELA TOUR that seemed the best reputed one, so I choosed the one offered by Marcelo Armstrong. I think this was the best choice ever. I had himself as guide it it was fabulous, Marcelo speaks excellent English as well...More"
43,Excellently organised tour. Marcelo was quick to reply to emails and helpful. Our tour guide was excellent. I chose this tour as I enjoyed seeing the contrast between the two different favelas that we visited. Tour guide had excellent English and gave a realistic insight...More
44,"Heard about this tour and company through Rio websites and some printed guides. It was a very useful and enlightening tour, it helped give a more balanced account of the perception of favelas both in the papers and portrayed on film. Marcelo was a knowledgeable,...More"
45,"I felt this was a not to be missed tour, as the favelas are so much a part of Rio de Janeiro.Although perhaps regarded as slums our guide told us that the favelas are where the working people of Rio live - taxi drivers, waiters,...More"
46,"I know doing a favela tour seems like a risky thing to be doing, but it is a must. Seeing the real Rio is really eye opening. It was amazing to see the way the people lived and also seeing how amazingly happy they all...More"
47,"I have to say, the tour guide was super friendly and this was a great tour HOWEVER, the tour guide spoke only spanish/ portugese and no English or any other language.
We don't pay money to have other tourists translate what the tour guide is...More"
48,"I saw a favela from a window of my hotel room in Copacabana and decided to take a tour. We went to the favela Rocinha. I was told that there is a kind of law: not to create troubles inside the favela, so the tourist...More"
49,"We went in a Favela tour in Rocinha, the largest of the favelas, booked through our hotel. The groups usually are in 10-15 people, and a guide who has lived/lives in the favela. This tour will give you a whole new look into the life...More"
50,This is a must if you have time during your stay in Rio. Book directly with Michelo Armstrong. Trips are in small groups and you get taken to two favelas. The first is small where you can mooch the back streets. The second is a...More
51,My husband and I did an organised Favela tour. The tour was incredibly eye opening to us both with the conditions that the locals have to live in. We were however surprised to see that they had set up their own wifi connection and many...More
52,"We found this tour in a hotel brochure. Although a little hesitant, we decided to go for it. It was very enlightening. Was very surprised to see that you could find anything in this favela. Pharmacies, dentists and even vetenarians. Really worth the experience. Our...More"
53,An opportunity to visit and walk among the people of the favelas. It's both informative and inspirational. The people have characteristics that you'll quickly admire and marvel at their history and day to day lives. You haven't visited Rio until you include this experience in...More
54,"Annabelle has lived in Rocinha and knows it well...including lots of the residents some of whom we talked to. Life in the favela is more complex than we read about with small businesses, trash pickups, schools and medical clinics.
We were driven up on motor...More"
55,"This guy is the real deal. He's a former resident and seems to know everyone. He'll show you the real slum, not just the PC parts.
His personality and the interactions with the residents were half the fun, honestly. We followed this guy for 4h...More"
56,"This morning we embarked on a favela tour!!! It was amazing. Easy to book, good pick up location and very safe. It was extremely interesting and the guide - Paulo was amazing. I would highly recommend."
57,"Went on Favella tour - arranged just a couple of days in advance. Guide Elia spoke very good english and vwry knowledgeable. You could see well respected by the communities being visited.
tour takes you to two contrasting favellas - one large and one with...More"
58,A big thanks to Freddie our tour guide and Zezinho (tour organizer) to this amazing experience. We saw first hand how the people of the Rocinha favela live. Freddie spoke English very well and answered all our questions. Like most visitors to the favela it...More
59,The trip to the favelas was something I really wanted to do when I came to Rio and I wasn't disappointed. It was a very humbling experience. Our guide was a wealth of knowledge and gave us a lot of interesting information about the history...More
60,It was a very slow (too slow) walk which ended even half an hour shorter. At the end we had to visit the house of the manager of the tours to do the payment. It felt a bit strange. The purpose of the tour was...More
61,"We had an absolutely fantastic tour today of two Rio favelas--Rochina & Villa Canoas. I had sourced & became aware of Favela Tour from the Frommers Rio travel book as part of our Olympic experience. Our Favela Tour guide Luciola, spoke perfect English & had...More"
62,You can't leave Rio without seeing amazing Rocinho Favela - this tour gives profits to a school ( which we visited). It's a wonderful entrepreneurial place and it was all safe and easy.
63,"We are an English family of four with 2 boys aged 9 & 10. We weren't sure what to expect on this tour but felt it was important to show our children how different areas in Brazil live.
The tour was amazing. Luciole (sp?) our...More"
64,"Our guide Thiago was extremely knowledgeable about the favelas and life in Rio. He gave us an incredible insight into how the favelas developed, the problems and the situation now. This tour really should be a must for anyone visiting Rio."
65,"This was a fantastic opportunity to meet real Brazilian people and I found it a really interesting experience as the people were so friendly and welcoming. Our guide, Edson was superb and we all felt at ease walking round an area of Rio that you...More"
66,"Thank you so much for booking us in last minute and picking us up from our hotel. Our guide was amazing, patient and extremely knowledgable. The trip allowed us to visit a school in the favela, meet the children and speak to the teacher. We...More"
67,"Although I was not entirely convinced of doing this kind of tour, now I'm very glad I took it. First of all, our guide Luciola was very informative and told us so many interesting details and facts on the favelas. We visited two different favelas,...More"
68,My tour was absolutely awesome. I did the jeep tour. I guess we were lucky we had a great guide. Hopped on a jeep then walked thru the favela.... Lot's of other jeep tours are not so great so proceed with caution. My other jeep...More
69,Visually striking places with people living in difficult circumstances just going about their day. Felt safe throughout the 3 hour tour. Glad we went.
70,"A very interesting tour even if it was a sanitised version of a sanitised favella. The people seemed happy as they went about business.
Some of the things we learned:
Started around 1888 when slavery was abolished. Brazil was the last country to do this....More"
71,"It is a very unique trip. To see all the poverty but the same time place full of life, not sugar coated but just to the roots of what we all came from. I liked to observe my teenage daughter who has everything and confronted...More"
72,"Definitely recommend this for your visit to Rio for a change from the beach and shopping. I went on a tour led by Alfredo with about 10 other people. We visited two favelas, Rocinho and Vila Canoas. The first is large, looks like any normal...More"
73,"Highlight of our time in Rio. Really interesting learning about the recent history and pacification of the favelas. I would recommend a non-Brazilian guide who is impartial on the matter of pacification, our English guide told us about the negative effects as well as positive...More"
74,The actual part of the tour in the favela was interesting. But this tour promised many things it did not deliver such as visiting a local school which has benefited from the income raised from these type of tours. Also on the website it said...More
75,"Only do this with a reputable tour guide. We were given a really good insight into the living inside these areas. The people seemed really happy and the communities had everything there. Shops, markets & schools a thriving metropolis."
76,"An must do when in Rio! You get a full picture of why the favelas exist and how important it has been for the people living there, it's not all about crime. BUT you must be prepared standing face to face with armed teenagers/kids, they...More"
77,"We came to rio really wanting to go up to see the favela, and we got in touch with Gareth who took us up there. It was amazing! Exceeded my expectations. Stopped somewhere to grab traditional Brazilian lunch as well on our way down which...More"
78,This experience stands out as the highlight of my trip! It was amazing to see and learn about the history of this incredible community and the struggles of the working class people that built it. It is by far the most colorful part of rio...More
79,"You must go with an organised tour guide from an agency that helps the people who live in the Fevela's.
It is very interesting To see And learn about The different communities in Rio And We will remember our Favela tour fondly."
80,We spent a morning doing a tour of the largest favela in Rio. I was colorfull and eventless. We understood a little better what brought families to the favela and what keeps them there. Anton had a lot of information to give and he did...More
81,"The guide was knowledgeable and passionate. We were picked up at our hotel promptly on time. However the air conditioning in the bus did not work on the way back, and instead of dropping us off at the hotel they dropped us off several blocks...More"
82,We were only 4 days in Rio and wanted to see something else besides Christ the Redeemer (too many line ups and tourists to get up there!) and the beaches. Our guide Thiago (maybe misspelled) was really interesting and gave a lot of facts about...More
83,"I'm glad I signed up to go on this tour and appreciated the experience, but it did feel strange to be on a guided tour of a favela where people live. The guide told us not to take pictures inside the homes of people as...More"
84,We visited the favelas in a very very very rainy day. Our guide Louis has been really great in describing the history and the everyday life of favelas.
85,"Doing a ""favela tour"" is a difficult ethic choice. So when you decide to do it, you expect from the guide to be respectfull and competent.
The woman who did the visit was really bad, with disrespect for poor people (I think she don't even...More"
86,"Explanation were good and they bring you to some spots where you have a nice insight into the Favelas. However, I would like it more if the tour guide originally came from there. Moreover I did not like the anti American attitude of the guide....More"
87,"Before you even go to Rio de Janeiro and do this tour everyone needs to watch the brazillian film ""City of God"" and think it can't get worst than that. After you see what happens in that film, you'll get a pretty good ideia of...More"
88,"When in Rio you must see the real people not just the tourist areas, their calm and polite nature will astound you. They live without luxuries and yet that is their lot, they seem proud of what they have. The walking tour takes you through...More"
89,"Most of Rio's people live in favelas. If you see only the beaches and the tourist attractions you will not know the real Rio -- a WALKING tour of a favela is a ""must-do.""
CariocaFreeCulture is one of the groups that relies on long-term residents...More"
90,"The trip was great, we were collected from our hotel on time and visited two of the city's Favela's with plenty of time on each visit to take in the surroundings and ask any questions we had (not rushed at all). The trip was made...More"
91,"Today we took an inspiring, fascinating & active tour of one of the Coacabana/Ipanema favelas with Alberto from Jungle Boy. We loved it, learned lots & enjoyed our time with Alberto immensely. Thought provoking, a little scary & lots of fun!"
92,The favelas are a huge part of Rio. The people in them have a tough life but a strong sense of community. Many of them work in the hotels amd hostels that most people staying in Rio use. The Favela tour allows a small insight...More
93,"The favela tour is well worth-it. I felt a little weird going on this tour before it started, as I wasn't sure what to expect, and I don't think I would like it if a parade of tourists walked past my house either. It was...More"
94,"Almost every travel books warn you not to go to the favela in Rio but it's very safe to join the guided tour to the favela, where has an amazing view of Rio. The guide told us about the life and trend of the favela...More"
95,"There are some things you should experience and this is one of them. This two-hour trip takes you into heart of the largest favela in Rio de Janeiro. With a free pickup from your accommodation, you head straight there via minivan (usually around 8-10 people)....More"
96,"We travel all over the world and by far this tour is one of the best things we have done. Our tour guide Everaldo was so interesting, informative, very welcoming and friendly we had a wonderful time.
If you are thinking about a Favela tour...More"
97,"Rio is a nice blend of beaches, many tourist attractions, high end expensive neighborhoods and Favelas!!
Favelas are neighborhoods where poor people stay.
Favela Tour is a well guided tour of favelas. Our guide, Luis, was great. Her English was good and she was very...More"
98,"I took the Marcelo Armstrong´s Favela Tour on September 3rd in Rio de Janeiro and it was amazing!!!!!! Our tour guide, Ricardo, was GREAT!!!!!!!!; he was impressively knowledgeable and really nice. With Ricardo, we learned a lot about some of the most relevant social and...More"
99,This was one of the highlights of my 4 day stint in Rio. Easy to communicate with - I called on Tuesday and got a tour immediately Wednesday morning. They pick you up in a air conditioned sprinter van and begin the drive out to...More
100,Really enjoyed this tour which was different from anything else we did in Rio. This is a well organised tour following a set programme detailed in many of the reviews below. Pick up was exactly on time and we found the tour to be well...More
101,"Favela Tours is the company which originated the idea of favela tourism. They've been at it since 1992 and have the tour down pat. That's not a bad thing. The tour is well-organized, interesting, and exposes tourists to the concept that favela residents may be...More"
102,"Well worth visiting this favela ( the largest in Rio) or another.
There are schools, clinics, movie theaters, senior centers, artists'
congregations. Since it's located on a hill, the views of Rio are
fantastic. Best to visit with a well versed guide."
103,"The favelas are really interesting, with lots of winding alleys. The people are really friendly. We booked with a local guide & I am sure you would get lost without one. Make sure you use insect repellent and good walking shoes. Lots of stairs."
104,"Yes, I know it is the beaches of Rio that everyone is attracted to bu I though our tour of a couple of favelas was the highlight of Rio.
To hear the history of how they developed and then the efforts of the Government to...More"
105,We'd heard about this tour run by Marcelo Armstrong from an acquaintance. My friend and I were very pleased with the tour their guide Everaldo provided us. Everaldo and the van driver were very courteous and polite the entire time. The van arrived at our...More
106,"I did enjoy this tour. The guide was very knowledgeable and took us for great views over the city.
A downside for me was there was no time to shop in the local market there, however you can catch a bus & shop at the...More"
107,Would recommend this to anyone. The guide was knowledgeable friendly from the first email I sent they were helpful. They pick you up at your hotel or meeting point of your choice. Nothing was too much trouble great service thanks
108,"We booked a tour through Zezinho and it was every bit as good as reviews have stated. Our young guide, obi, met us at our hotel and picked up one other couple. We only speak English and the other couple only Spanish, and we were...More"
109,I would recommend without a doubt. Really well organised and our guide Luciola was great. As a group we were worried that it may be a little voyeuristic but it was not. A real insight into the favelas.
110,"I really, really enjoyed this tour. All arrangements, from booking to hotel pick up / drop off, were easy to make and delivered as promised. The tour guide and driver had a real passion for providing their guests with a great learning experience about the...More"
111,"I had been itching to visit a Favela, so after some research, found that the Rocinha Favela was not so bad a place and to boot, and a decent restaurant we could have lunch at, with a great view. So after convincing the wife that...More"
112,"My initial reservations about this being voyeuristic were allayed by the excellent hosting of Luciola, and her obvious pride in the people of the favelas and their fascinating history. Her commentary was honest and informative, her relationships with the locals were genuine and we were...More"
113,Read about the tour on the internet and were very impressed with the reviews and track record. We were not disappointed. Our guide Alfredo was fantastic. So passionate and engaged; we hung on every word and learned so much about Favela and Brazilian history more...More
114,"Went on this tour as a solo traveller having read all the positive reviews. Disappointed.
Efficient phone booking system and picked up fairly promptly from my hotel.
I have travelled extensively and touring these slums felt like being a voyeur with the company making money...More"
115,"Alberto was the best host ever, he's actually from the favela Rochina and is also an expert on Brazilian and American history. Also he speaks perfect English (which is rare in Rio) so this made understanding the tour and favelas much easier. This a must...More"
116,A guided walking tour gives as great insight into the contrasts of Rio . It showed the efforts being made to make the city environs safer for everyone.
117,This tour was recommended to us by a friend who had stayed at the same hotel in Rio a few weeks earlier and found the flyer in the foyer. Some of our group ( 7 in total – 6 adults and 1 toddler ) took...More
118,"Very interesting favela tour with Rachel. Very nice views and and we enjoyed learning more about the favelas from a local's point of view. Value for money, got picked up from accommodation promptly, and we felt safe during the tour."
119,Our guide Alfredo was fantastic and gave us a very interesting insight into daily life in Rio's favela. He took us to visit the largest one that is also known abroad called Rocinha and the small favela called Vila Canoa where we also visited a...More
120,This is one of the most important tours in Rio De Janeiro. The Rocinha is the largest one. The tour must be done with a guide as you will walk for 2 hours in the favela and witness the daily lifestyle of its habitants. Never...More
121,Alfredo gives a great insight into what life is like in two of Rio's favelas. It's particularly good to see how the tour is being used to part fund a local school.
122,"Spent quite a bit of time deciding whether a tour of a favela was the right thing to do, decided we would give it a go and i'm so glad we did. Our guide Alfredo was fantastic, all the locals in both favelas knew him...More"
123,"We went on this tour with the tour guide Rachel. She was really great and gave us so much information about the favelas, the economy of Brazil and knew so much about current events and was able to explain in a way that was easy...More"
124,"This tour was really informative and gives you insight into a different part of Rio. Our guide spoke english well and answered all of our questions. They definitely take you to a few places trying to sell you handicrafts, etc. so just be aware. Price...More"
125,"Very well organized tour! Leo is a very qualified guide, very nice and professional. Congratulations to the 'Favela Tour' team!"
126,"I booked a tour with www.favelatour.com.br. It was a great tour, highly recommended! R$85, no prepayment required. The tour guide came to the hotel to pick me up in a van at 840am. After picking up the rest of the guests, we travelled to a...More"
127,"I've just done a tour of Rochino favela, the largest slum in Rio, with Exotic tours. It was amazing. Luiza was our guide and she gave us a very frank overview of the politics, history and demographics of the Favela. We got to walk through...More"
128,"So one thing is that these guys are super easy to communicate and setup the tour with, another is that they are actually living, breathing and loving Rochina.
These are not some jeep-touring, living-outside, money-groping guys. 40% of your contribution goes to projects in the...More"
129,"Interesting, the best part was the guide and her (Rachel) information. I recommend this visit (I thought it will be dangerous so I left home all money but I wish I had some for buying nice paint)."
130,"It was an enriching experience, our guide Rachel was okay. She was pleasant but did not bring anything interesting to the tour, in other words, the tour was mediocre. Nonetheless, seeing the favelas up close and personal was great. You get a real first hand...More"
131,The size of favelas is breath taking. It's good to see it and buy few souvenirs to help locals. Go only with a guide as these places are dangerous.
132,This is a really well run tour with knowledgeable guides. The stories they tell are interesting and the places you visit are too. The school they help to fund is really nice and the view from the top of Rochina favela is stunning. Well worth...More
133,Cannot rate the tour higher. Booked through the hotel reception at 150 rias each. The guide was known in the favela so no problems. Not obliged to buy anything and entered a private house. The forest trip seemed an add on and through negotiation with...More
134,For me i think this tour is a must when you are in rio. One of the things that is so individual about this city and good to get some more cultural understanding of the Favelas which would not be possible without a guide. Highly...More
135,"Prompt, friendly, knowlageble guide Rachel took us to Rochina and another small one. When people write that you mostly visit outdoor shops and complain about it, they dont understand that this is the very reason that they can visit the area safely. There is no...More"
136,"Did a tour with a local guide. He told us everything about Rocinha and showed us all the different sides (main street, back alleys etc). It's a very interesting tour. Never felt unsafe!"
137,"Enjoyed the tour with a knowledgeable tour guide who knew his history and the people so you felt at ease with being there not a tour to do alone.
Visited the free school for Favela children well worthwhile and a brilliant idea as it gives...More"
138,"I loved the tour, however I felt like it could have been better with Marcelo. I am very into the topic and am going to write my thesis about drugs and gangs in Brazil/Latin America, so I was expecting the tour to be more informative...More"
139,"We enjoyed this tour. We drove to two Favelas. Clearly,our driver and guide knew the people and we felt totally comfortable. They are more interesting and different than they appear from the distance. In one, we went right down into the alleys on a walking...More"
140,We took Marcelo Amstrong's favela tour. The information was interesting and we got a glimpse of the favela and the lifestyle of its inhabitants. We were disappointed that we were not picked up at our hotel as some participants were. We had to meet at...More
141,We went on a tour to visit 2 favelas in Rio. This was such an experience. We booked it on the day by calling the number on the www.favelatour.com website. I think we paid about 65R each. The tour guide came to collect us for...More
142,"Saw great reviews online for this favela tour so decided to give it a go. The reviews are definitely true- it was a brilliant tour and these guys are a great company. We went to Rocina favela which is the biggest in South America, 75,000...More"
143,Great opportunity to see how people go about their daily lives in the Favela.We climbed up to the top and were amazed at the fantastic views from here. A community with all to serve these people who dwell here.
144,"I took the ""Favela Feelings"" tour for R80 which is promoted by El Misti hostel. The guide was young, inexperienced and no longer lived in Rocinha. First stop was a very touristy handicraft market. After awkwardly showing little interest in buying more friendship bracelets, we...More"
145,We took Marcelo Amstrong's favela tour. The information was interesting and we got a glimpse of the favela and the lifestyle of its inhabitants. We were picked up at 9 a.m. and returned to our hotel by 11:30. After packing the cramped van with 10...More
146,One of the two favela tours we signed up for (Santa Marta was the other) and can't say that there was one I liked more. Both were equally unique. Although I'd have to say that Rocinha was much livelier - also due to the fact...More
147,Favela tour by Armstrong is an excellent way to know this unique part of Rio. In particular our guide Ricardo was really prepared and helpful and he was able to speak a perfect english (that is not obvious around here!) We toured for about 2...More
148,I have one regret – I ate a large lunch prior to our 2:00 p.m. tour and unfortunately didn’t have room for any food on the tour. There were lots of opportunities for great-looking street food and at various stops. Bring some money in small...More
149,We booked this tour at the hotel desk and it was excellent. Our guide Alfredo was very knowledgeable and passionate about the favelas and the lives of the people who live there. The tour was respectful and informative and visited two different favelas. There were...More
150,"We went to the favela tour with Dumboree as a guide and then we met Zezinho at the favela. They were super friendly, speak perfect english and explain all about living in Rocinha and also the projects they organize to help young people who leave...More"
151,And hour late to pick us up at the hotel. No apology was given. We called the hotline and luckily there was somebody coming but only showed up an hour later. Even the hotel staff blamed the tour guide when he reached the hotel. We...More
152,We booked the tour via out hostel. We were picked up and taken to the foot of the favela. Once there we were given a briefing from a guide (about who not to look at etc) and then we hopped on the back of a...More
153,"Not sure what to expect with this tour. Felt quite safe, with guide. Fluent English spoken. At the end of the tour we spend about 20 min. with the co founder of the .org association we paid for the tour through. Did not feel this...More"
154,People laughed at us why paying the tour 80 reals to see poverty of people in the slum ( favela ) area. This is a must tour to be only taken by the guide. İt is dangerous place and one can confuse the roads very...More
155,"We organized this online with www.favelatour.com.br . They had two tours every day (9:00 and 14:00) The tour costs R$75 per person and part of the funds go to helping a local school, which you get to visit (para ti). Tour was around 3 hours...More"
156,"there are several organizations offering favela tours online--some of Riocinha and others in Santa Marta. I'm well traveled, have live next to a slum in India and am pretty keen at identifying scams and for-profit motives/companies.
I felt favelatour.org genuinely cared about the community. The...More"
157,"We attended this incredible tour in Nov 2014 and it is an absolute must!! IT IS TOTALLY SAFE! And so interesting - last a couple of hours, and they take you to Rocinha (the biggest favela in South America) and a smaller community, as well...More"
158,"I was an eyeopening tour to visit the to favelas on the guided tour.
The tour took us to 2 favelas. A big and small one. The tour in the big was nice, because it gave a picture of what it is, even though most...More"
159,We organised this online with www.favelatour.com.br . Very well organised and were picked up at one of the main hotels in Rio. Engish speaking guide and with driver in 12 seater van to Rocinda and one of the smaller favelas nearby. Was not as run...More
160,"I know many people who visit Rio want to stay away from favelas as they don't want to see the poverty and miserable people. I, on the other hand, believe that it's worth going there to have the full image of life in the city,...More"
161,Our guide (don't remember her name) was informing us about some very interesting facts about how the favelas started and why they live there during the whole car ride to the first favela. It was a small one and we walked through it. Some doors...More
162,"As we were staying in Copacabana and had already seen many of the touristic highlights of the city, we also wanted to visit a favela, and see this other side of the city. A little hesitant because of all te bad things you hear in...More"
163,"We toured Rocinha, the largest favela in Rio, with tour guide Paulo Amendoim. He is the former president of the resident's association there and he seemed to know everyone in town. I can't count how many people came up to him to say hello or...More"
164,"A few logistical points:
* book directly by calling them (english spoken perfectly by the people manning the phone) and you will save 15 RS per person
* there is overall fairly little walking involved - do not worry about that
* you will be...More"
165,"We booked our tour of Rosina's before leaving home to get some insight to how life in a Favela really is. Our guide Zezinho collected us from our hotel and we caught the public bus to take us to the start of the tour.
This...More"
166,"This tour will give you a really good insight to the Rocinha favela which is one of the largest favela's around. Our tour guide, Zezinho was born in the favela's but has also lived in the states and his English was perfect so that really...More"
167,"I went on this tour with my 14 year old son, and both of us found the experience very interesting. Our guide was very knowledgable, he had lived in New York for about 5 years so he spoke English very well (This was extremely helpful;...More"
168,"This walking tour of Rocinha is the only way to go. Partner and guide Zezinho is so passionate about his community. He distribute bracelets that say ""eu amo Rocinha"", ""I love Rocinha"" to let the community demonstrate their love and pride.
Our group was only...More"
169,"Went on a Favela tour and can honestly say was such an amazing experience. Went with my Mum and we both felt very safe walking about on the tour.
We did not get pressured into buying any souvenirs like others have commented. Seen some very...More"
170,"our tour was supposed to leave from hotel copacabana at 2 pm.my wife and i went to lunch to a lebanese near by.unfortunetly,it started to pour really hard and when we arrived at the pick up place ,we were soaked to the bone.we told the...More"
171,I will start this review by acknowledging that part of my expectations were not met because the concierge told me this was a mainly a walking tour. I desired a walking tour We walked maybe 10 blocks the entire tour. This is not the fault...More
172,"I did this tour with favelatour.com.br it was an absolutely wonderful way to spend an afternoon. The price is very reasonable at 95BR per person and part of the funds go to helping a local school, which you get to visit. Our tour guide was...More"
173,"12 people went on this favela tour which was supposed to go for 2.5 hrs.First to a small favela then to a much larger one of about 300 thousand inhabitants.
All went well with our guide Simone for the small favela which lasted no more...More"
174,"I really enjoyed this tour. I never felt that this was an ""animal in the zoo"" experience. We got out, walked around, purchased items, toured a school... Most importantly there was an emphasis on the politics and history of the favelas.
The favelas you go...More"
